date,GlobInc,GlobEff,Earray(kW),E_Grid,PR,GlobHor
1/1/1990 0:00,0,0,0,-0.0055,1,0
1/1/1990 1:00,0,0,0,-0.0055,1,0
1/1/1990 2:00,0,0,0,-0.0055,1,0
1/1/1990 3:00,0,0,0,-0.0055,1,0
1/1/1990 4:00,0,0,0,-0.0055,1,0
1/1/1990 5:00,0,0,0,-0.0055,1,0
1/1/1990 6:00,0,0,0,-0.0055,1,0.8949
1/1/1990 7:00,170.37,153.93,2.6006,2.5085,0.8112,128.1
1/1/1990 8:00,99.024,95.601,1.594,1.5219,0.8468,101.4
1/1/1990 9:00,95.907,92.622,1.542,1.4708,0.8449,99.007
1/1/1990 10:00,340.12,332.06,5.5645,5.4021,0.8751,327.11
1/1/1990 11:00,113.92,110.06,1.8356,1.7587,0.8506,117.3
1/1/1990 12:00,502.75,495.07,8.1097,7.8827,0.8639,464.11
1/1/1990 13:00,970.19,963.56,14.355,13.925,0.7908,847.9
1/1/1990 14:00,504.54,496.04,8.0512,7.8232,0.8543,460.2
1/1/1990 15:00,628.28,618.61,9.8281,9.5449,0.837,521.3
1/1/1990 16:00,363.14,343.64,5.6722,5.5043,0.8351,286.59
1/1/1990 17:00,30.226,29.101,0.4481,0.3759,0.6852,30.996
1/1/1990 18:00,0,0,0,-0.0055,1,0
1/1/1990 19:00,0,0,0,-0.0055,1,0
1/1/1990 20:00,0,0,0,-0.0055,1,0
1/1/1990 21:00,0,0,0,-0.0055,1,0
1/1/1990 22:00,0,0,0,-0.0055,1,0
1/1/1990 23:00,0,0,0,-0.0055,1,0
2/1/1990 0:00,0,0,0,-0.0055,1,0
2/1/1990 1:00,0,0,0,-0.0055,1,0
2/1/1990 2:00,0,0,0,-0.0055,1,0
2/1/1990 3:00,0,0,0,-0.0055,1,0
2/1/1990 4:00,0,0,0,-0.0055,1,0
2/1/1990 5:00,0,0,0,-0.0055,1,0
2/1/1990 6:00,0,0,0,-0.0055,1,0.4068
2/1/1990 7:00,87.412,81.163,1.3535,1.2861,0.8107,75.301
2/1/1990 8:00,282.65,272.27,4.6047,4.4668,0.8707,250.89
2/1/1990 9:00,446.36,437.5,7.2436,7.0397,0.8689,406.39
2/1/1990 10:00,527.39,518.42,8.4475,8.211,0.8578,484.7
2/1/1990 11:00,672.12,664.58,10.521,10.216,0.8375,604.6
2/1/1990 12:00,604.87,596.02,9.5188,9.2464,0.8422,557.21
2/1/1990 13:00,363.25,354.6,5.8525,5.6804,0.8616,351.59
2/1/1990 14:00,300.33,291.74,4.8435,4.6967,0.8616,298.89
2/1/1990 15:00,340,331.97,5.4971,5.3339,0.8644,311.31
2/1/1990 16:00,185.58,177.3,2.9559,2.8545,0.8475,166.4
2/1/1990 17:00,0,0,0,-0.0055,1,5.4019
2/1/1990 18:00,0,0,0,-0.0055,1,0
2/1/1990 19:00,0,0,0,-0.0055,1,0
2/1/1990 20:00,0,0,0,-0.0055,1,0
2/1/1990 21:00,0,0,0,-0.0055,1,0
2/1/1990 22:00,0,0,0,-0.0055,1,0
2/1/1990 23:00,0,0,0,-0.0055,1,0
3/1/1990 0:00,0,0,0,-0.0055,1,0
3/1/1990 1:00,0,0,0,-0.0055,1,0
3/1/1990 2:00,0,0,0,-0.0055,1,0
3/1/1990 3:00,0,0,0,-0.0055,1,0
3/1/1990 4:00,0,0,0,-0.0055,1,0
3/1/1990 5:00,0,0,0,-0.0055,1,0
3/1/1990 6:00,0,0,0,-0.0055,1,0.4068
3/1/1990 7:00,158.08,141.45,2.4119,2.3248,0.8103,113
3/1/1990 8:00,395.68,380.45,6.4052,6.2243,0.8667,314.2
3/1/1990 9:00,632.79,626.45,10.108,9.8205,0.8551,525.9
3/1/1990 10:00,797,792.19,12.305,11.945,0.8258,679.11
3/1/1990 11:00,890.58,887.06,13.421,13.025,0.8058,768.5
3/1/1990 12:00,924.89,921.47,13.765,13.357,0.7957,799.49
3/1/1990 13:00,883.53,879.98,13.217,12.829,0.8,759.21
3/1/1990 14:00,769.61,764.71,11.745,11.403,0.8163,651.01
3/1/1990 15:00,589.86,581.88,9.2445,8.9791,0.8387,482.9
3/1/1990 16:00,345.84,327.87,5.4029,5.2411,0.835,276.41
3/1/1990 17:00,29.894,28.794,0.4427,0.3703,0.6825,30.703
3/1/1990 18:00,0,0,0,-0.0055,1,0
3/1/1990 19:00,0,0,0,-0.0055,1,0
3/1/1990 20:00,0,0,0,-0.0055,1,0
3/1/1990 21:00,0,0,0,-0.0055,1,0
3/1/1990 22:00,0,0,0,-0.0055,1,0
3/1/1990 23:00,0,0,0,-0.0055,1,0
4/1/1990 0:00,0,0,0,-0.0055,1,0
4/1/1990 1:00,0,0,0,-0.0055,1,0
4/1/1990 2:00,0,0,0,-0.0055,1,0
4/1/1990 3:00,0,0,0,-0.0055,1,0
4/1/1990 4:00,0,0,0,-0.0055,1,0
4/1/1990 5:00,0,0,0,-0.0055,1,0
4/1/1990 6:00,0,0,0,-0.0055,1,0.4068
4/1/1990 7:00,15.303,14.929,0.221,0.144,0.5183,16.498
4/1/1990 8:00,55.4,53.501,0.8722,0.8115,0.807,57.696
4/1/1990 9:00,151.91,146.92,2.4783,2.3886,0.8663,155.09
4/1/1990 10:00,158.65,153.43,2.5859,2.4938,0.866,162.4
4/1/1990 11:00,315.08,306.04,5.1393,4.9872,0.8721,315.51
4/1/1990 12:00,307.21,298.29,5.0015,4.8525,0.8703,308.3
4/1/1990 13:00,352.45,342.67,5.7141,5.5473,0.8672,350.89
4/1/1990 14:00,318.92,309.97,5.1764,5.0224,0.8677,316.4
4/1/1990 15:00,179.67,173.92,2.9127,2.8128,0.8626,181.4
4/1/1990 16:00,44.276,42.789,0.6815,0.6152,0.7656,46.306
4/1/1990 17:00,9.6944,9.5468,0.1322,0.0533,0.3029,10.706
4/1/1990 18:00,0,0,0,-0.0055,1,0
4/1/1990 19:00,0,0,0,-0.0055,1,0
4/1/1990 20:00,0,0,0,-0.0055,1,0
4/1/1990 21:00,0,0,0,-0.0055,1,0
4/1/1990 22:00,0,0,0,-0.0055,1,0
4/1/1990 23:00,0,0,0,-0.0055,1,0
5/1/1990 0:00,0,0,0,-0.0055,1,0
5/1/1990 1:00,0,0,0,-0.0055,1,0
5/1/1990 2:00,0,0,0,-0.0055,1,0
5/1/1990 3:00,0,0,0,-0.0055,1,0
5/1/1990 4:00,0,0,0,-0.0055,1,0
5/1/1990 5:00,0,0,0,-0.0055,1,0
5/1/1990 6:00,0,0,0,-0.0055,1,0.6996
5/1/1990 7:00,160.2,143.29,2.4416,2.3538,0.8096,115.29
5/1/1990 8:00,413.19,397.12,6.6636,6.476,0.8635,333.5
5/1/1990 9:00,426,417.61,6.9569,6.761,0.8744,387.31
5/1/1990 10:00,515.53,506.62,8.3045,8.073,0.8628,474.89
5/1/1990 11:00,561.22,552.52,8.9625,8.7112,0.8552,518.81
5/1/1990 12:00,411.25,401.92,6.6487,6.4584,0.8653,396.79
5/1/1990 13:00,486.27,476.52,7.7976,7.5778,0.8586,461.79
5/1/1990 14:00,457.14,448.52,7.3621,7.1534,0.8622,423.01
5/1/1990 15:00,376.46,368.06,6.0996,5.9225,0.8668,342.11
5/1/1990 16:00,284.73,270.9,4.5309,4.393,0.85,237.8
5/1/1990 17:00,35.092,33.678,0.5287,0.4587,0.7201,35.6
5/1/1990 18:00,0,0,0,-0.0055,1,0
5/1/1990 19:00,0,0,0,-0.0055,1,0
5/1/1990 20:00,0,0,0,-0.0055,1,0
5/1/1990 21:00,0,0,0,-0.0055,1,0
5/1/1990 22:00,0,0,0,-0.0055,1,0
5/1/1990 23:00,0,0,0,-0.0055,1,0
6/1/1990 0:00,0,0,0,-0.0055,1,0
6/1/1990 1:00,0,0,0,-0.0055,1,0
6/1/1990 2:00,0,0,0,-0.0055,1,0
6/1/1990 3:00,0,0,0,-0.0055,1,0
6/1/1990 4:00,0,0,0,-0.0055,1,0
6/1/1990 5:00,0,0,0,-0.0055,1,0
6/1/1990 6:00,0,0,0,-0.0055,1,0.4068
6/1/1990 7:00,151.23,135.12,2.319,2.2345,0.8141,108.61
6/1/1990 8:00,380.65,365.72,6.214,6.0394,0.8742,306.2
6/1/1990 9:00,632.03,625.63,10.179,9.8918,0.8623,526
6/1/1990 10:00,806.28,801.43,12.531,12.165,0.8313,688.1
6/1/1990 11:00,845.89,841.47,12.973,12.593,0.8202,735.79
6/1/1990 12:00,903.52,899.27,13.628,13.225,0.8065,786.4
6/1/1990 13:00,812.85,807.83,12.441,12.078,0.8187,708.9
6/1/1990 14:00,703.97,697.82,10.966,10.647,0.8333,606.99
6/1/1990 15:00,522.53,514.42,8.3432,8.1081,0.8549,440.71
6/1/1990 16:00,289.14,275.19,4.5969,4.4571,0.8493,241.51
6/1/1990 17:00,30.467,29.349,0.4565,0.3847,0.6958,31.305
6/1/1990 18:00,0,0,0,-0.0055,1,0
6/1/1990 19:00,0,0,0,-0.0055,1,0
6/1/1990 20:00,0,0,0,-0.0055,1,0
6/1/1990 21:00,0,0,0,-0.0055,1,0
6/1/1990 22:00,0,0,0,-0.0055,1,0
6/1/1990 23:00,0,0,0,-0.0055,1,0
7/1/1990 0:00,0,0,0,-0.0055,1,0
7/1/1990 1:00,0,0,0,-0.0055,1,0
7/1/1990 2:00,0,0,0,-0.0055,1,0
7/1/1990 3:00,0,0,0,-0.0055,1,0
7/1/1990 4:00,0,0,0,-0.0055,1,0
7/1/1990 5:00,0,0,0,-0.0055,1,0
7/1/1990 6:00,0,0,0,-0.0055,1,0.2929
7/1/1990 7:00,32.14,31.111,0.4957,0.4255,0.7295,33.599
7/1/1990 8:00,97.822,94.433,1.5903,1.5191,0.8556,100.19
7/1/1990 9:00,258.73,251.12,4.2749,4.1461,0.8829,257.09
7/1/1990 10:00,348.39,339.93,5.7333,5.5682,0.8806,336.4
7/1/1990 11:00,719.43,712.06,11.31,10.982,0.841,645.6
7/1/1990 12:00,703.14,695.46,11.028,10.708,0.839,634.2
7/1/1990 13:00,782.03,776.14,12.071,11.719,0.8256,687.4
7/1/1990 14:00,402.59,393.81,6.5073,6.3201,0.8649,382.1
7/1/1990 15:00,39.044,37.654,0.5944,0.526,0.7422,40.807
7/1/1990 16:00,82.29,79.412,1.3069,1.2395,0.8299,84.494
7/1/1990 17:00,10.465,10.292,0.1444,0.0658,0.3464,11.503
7/1/1990 18:00,0,0,0,-0.0055,1,0
7/1/1990 19:00,0,0,0,-0.0055,1,0
7/1/1990 20:00,0,0,0,-0.0055,1,0
7/1/1990 21:00,0,0,0,-0.0055,1,0
7/1/1990 22:00,0,0,0,-0.0055,1,0
7/1/1990 23:00,0,0,0,-0.0055,1,0
8/1/1990 0:00,0,0,0,-0.0055,1,0
8/1/1990 1:00,0,0,0,-0.0055,1,0
8/1/1990 2:00,0,0,0,-0.0055,1,0
8/1/1990 3:00,0,0,0,-0.0055,1,0
8/1/1990 4:00,0,0,0,-0.0055,1,0
8/1/1990 5:00,0,0,0,-0.0055,1,0
8/1/1990 6:00,0,0,0,-0.0055,1,0.5044
8/1/1990 7:00,119.06,107.5,1.8182,1.7429,0.8065,91.1
8/1/1990 8:00,207.68,200.06,3.4101,3.3019,0.876,194.3
8/1/1990 9:00,309.12,301.3,5.1028,4.9532,0.8828,295.49
8/1/1990 10:00,367.25,358.41,6.024,5.8515,0.8779,354.2
8/1/1990 11:00,471.15,461.64,7.645,7.4318,0.8691,448.89
8/1/1990 12:00,479.69,469.83,7.7546,7.538,0.8658,458.3
8/1/1990 13:00,463.49,454.09,7.4989,7.2884,0.8664,441.29
8/1/1990 14:00,189.91,183.94,3.0975,2.9943,0.8687,192.6
8/1/1990 15:00,63.799,61.567,1.0059,0.9441,0.8153,66.303
8/1/1990 16:00,22.125,21.399,0.3268,0.2521,0.6278,23.397
8/1/1990 17:00,11.223,11.028,0.1572,0.0788,0.3867,12.301
8/1/1990 18:00,0,0,0,-0.0055,1,0
8/1/1990 19:00,0,0,0,-0.0055,1,0
8/1/1990 20:00,0,0,0,-0.0055,1,0
8/1/1990 21:00,0,0,0,-0.0055,1,0
8/1/1990 22:00,0,0,0,-0.0055,1,0
8/1/1990 23:00,0,0,0,-0.0055,1,0
9/1/1990 0:00,0,0,0,-0.0055,1,0
