PVSYST 7.2.11,,,,,,,,,,,,,
,File,File date,Description,,,,,,,,,,
Project,test26kw_Project.PRJ,04/10/22 18h35,test26kw,,,,,,,,,,
Geographical Site,Chatuchak_MN80.SIT,04/10/22 18h35,Chatuchak;Thailand;Asia;,,,,,,,,,,
Meteo data,Chatuchak_MN80_SYN.MET,04/10/22 18h13,Chatuchak;Meteonorm 8.0 (1996-2015);Synthetic,,,,,,,,,,
Simulation variant,test26kw_Project.VC0,04/10/22 21h05,New simulation variant,,,,,,,,,,
Simulation date,,05/10/22 23h03,,,,,,,,,,,
,,,,,,,,,,,,,
Simulation:,Hourly values, from 01/01/90, to 31/12/90 ,,,,,,,,,,
,,,,,,,,,,,,,
date,GlobInc,GlobEff,EArray,E_Grid,PR,,,,,,,,
    ,W/m²,W/m²,kW,kW,ratio,,,,,,,,
,,,,,,,,load,,loadcomparesolar?,,,load-solar
1/1/1990 0:00,0,0,0,-0.002,1,,,6.62,,0,,,6.62
1/1/1990 1:00,0,0,0,-0.002,1,,,5.84,,0,,,5.84
1/1/1990 2:00,0,0,0,-0.002,1,,,7.46,,0,,,7.46
1/1/1990 3:00,0,0,0,-0.002,1,,,5.78,,0,,,5.78
1/1/1990 4:00,0,0,0,-0.002,1,,,5.72,,0,,,5.72
1/1/1990 5:00,0,0,0,-0.002,1,,,5.6,,0,,,5.6
1/1/1990 6:00,0,0,0,-0.002,1,,,7.22,,0,,,7.22
1/1/1990 7:00,170.37,150.64,3.5401,3.4202,0.7799,,,5.74,,3.5401,,,2.1999
1/1/1990 8:00,99.024,95.11,2.1966,2.0944,0.8217,,,5.64,,2.1966,,,3.4434
1/1/1990 9:00,95.907,92.128,2.1237,2.0224,0.8192,,,10.76,,2.1237,,,8.6363
1/1/1990 10:00,340.12,330.73,7.7584,7.5833,0.8662,,,11.48,,7.7584,,,3.7216
1/1/1990 11:00,113.92,109.48,2.5329,2.4262,0.8274,,,11.64,,2.5329,,,9.1071
1/1/1990 12:00,502.75,493.69,11.367,11.144,0.8612,,,11.94,,11.367,,,0.573
1/1/1990 13:00,970.19,962.29,20.382,20.015,0.8015,,,13.94,,13.94,,,0
1/1/1990 14:00,504.54,494.14,11.274,11.052,0.8511,,,13,,11.274,,,1.726
1/1/1990 15:00,628.28,616.82,13.815,13.561,0.8385,,,9.86,,9.86,,,0
1/1/1990 16:00,363.14,343.87,7.9461,7.7686,0.8311,,,8.68,,7.9461,,,0.7339
1/1/1990 17:00,30.226,28.917,0.602,0.5092,0.6544,,,8.7,,0.602,,,8.098
1/1/1990 18:00,0,0,0,-0.002,1,,,7.2,,0,,,7.2
1/1/1990 19:00,0,0,0,-0.002,1,,,7.9,,0,,,7.9
1/1/1990 20:00,0,0,0,-0.002,1,,,6.1,,0,,,6.1
1/1/1990 21:00,0,0,0,-0.002,1,,,6.12,,0,,,6.12
1/1/1990 22:00,0,0,0,-0.002,1,,,5.98,,0,,,5.98
1/1/1990 23:00,0,0,0,-0.002,1,,,6.12,,0,,,6.12
2/1/1990 0:00,0,0,0,-0.002,1,,,5.94,,0,,,5.94
2/1/1990 1:00,0,0,0,-0.002,1,,,5.76,,0,,,5.76
2/1/1990 2:00,0,0,0,-0.002,1,,,5.7,,0,,,5.7
2/1/1990 3:00,0,0,0,-0.002,1,,,5.72,,0,,,5.72
2/1/1990 4:00,0,0,0,-0.002,1,,,7.32,,0,,,7.32
