PVSYST 7.2.11,,,,,
,File,File date,Description,,
Project,test26kw_Project.PRJ,04/10/22 18h35,test26kw,,
Geographical Site,Chatuchak_MN80.SIT,04/10/22 18h35,Chatuchak;Thailand;Asia;,,
Meteo data,Chatuchak_MN80_SYN.MET,04/10/22 18h13,Chatuchak;Meteonorm 8.0 (1996-2015);Synthetic,,
Simulation variant,test26kw_Project.VC0,04/10/22 21h05,New simulation variant,,
Simulation date,,05/10/22 23h03,,,
,,,,,
Simulation:,Hourly values, from 01/01/90, to 31/12/90 ,,
,,,,,
date,GlobInc,GlobEff,EArray,E_Grid,PR
    ,W/m²,W/m²,kW,kW,ratio
,,,,,
1/1/1990 0:00,0,0,0,-0.002,1
1/1/1990 1:00,0,0,0,-0.002,1
1/1/1990 2:00,0,0,0,-0.002,1
1/1/1990 3:00,0,0,0,-0.002,1
1/1/1990 4:00,0,0,0,-0.002,1
1/1/1990 5:00,0,0,0,-0.002,1
1/1/1990 6:00,0,0,0,-0.002,1
1/1/1990 7:00,170.37,150.64,3.5401,3.4202,0.7799
1/1/1990 8:00,99.024,95.11,2.1966,2.0944,0.8217
1/1/1990 9:00,95.907,92.128,2.1237,2.0224,0.8192
1/1/1990 10:00,340.12,330.73,7.7584,7.5833,0.8662
1/1/1990 11:00,113.92,109.48,2.5329,2.4262,0.8274
1/1/1990 12:00,502.75,493.69,11.367,11.144,0.8612
1/1/1990 13:00,970.19,962.29,20.382,20.015,0.8015
1/1/1990 14:00,504.54,494.14,11.274,11.052,0.8511
1/1/1990 15:00,628.28,616.82,13.815,13.561,0.8385
1/1/1990 16:00,363.14,343.87,7.9461,7.7686,0.8311
1/1/1990 17:00,30.226,28.917,0.602,0.5092,0.6544
1/1/1990 18:00,0,0,0,-0.002,1
1/1/1990 19:00,0,0,0,-0.002,1
1/1/1990 20:00,0,0,0,-0.002,1
1/1/1990 21:00,0,0,0,-0.002,1
1/1/1990 22:00,0,0,0,-0.002,1
1/1/1990 23:00,0,0,0,-0.002,1
2/1/1990 0:00,0,0,0,-0.002,1
2/1/1990 1:00,0,0,0,-0.002,1
2/1/1990 2:00,0,0,0,-0.002,1
2/1/1990 3:00,0,0,0,-0.002,1
2/1/1990 4:00,0,0,0,-0.002,1
2/1/1990 5:00,0,0,0,-0.002,1
2/1/1990 6:00,0,0,0,-0.002,1
2/1/1990 7:00,87.412,79.963,1.8425,1.7449,0.7755
2/1/1990 8:00,282.65,271.62,6.4206,6.263,0.8608
2/1/1990 9:00,446.36,435.31,10.116,9.9103,0.8626
2/1/1990 10:00,527.39,516.75,11.843,11.614,0.8555
2/1/1990 11:00,672.12,663.01,14.813,14.546,0.8408
2/1/1990 12:00,604.87,594.4,13.375,13.127,0.8431
2/1/1990 13:00,363.25,353.26,8.1655,7.9851,0.854
2/1/1990 14:00,300.33,290.33,6.7398,6.5781,0.8509
2/1/1990 15:00,340,330.65,7.6638,7.4899,0.8558
2/1/1990 16:00,185.58,176.93,4.1092,3.9818,0.8336
2/1/1990 17:00,0,0,0,-0.002,1
2/1/1990 18:00,0,0,0,-0.002,1
2/1/1990 19:00,0,0,0,-0.002,1
2/1/1990 20:00,0,0,0,-0.002,1
2/1/1990 21:00,0,0,0,-0.002,1
2/1/1990 22:00,0,0,0,-0.002,1
2/1/1990 23:00,0,0,0,-0.002,1
3/1/1990 0:00,0,0,0,-0.002,1
